Fold,Outcome,Method,AUROC,Sensitivity,Specificity,TPR_gap,TPR_gap_bin,TPR_gap_signed,Brier,AUROC_gap_Q,Spec_at_Sens80,Spec_at_Sens90,PR_AUC
4,CASP,ExpGrad_DP,0.823,0.7351,0.7553,0.2028,0.1263,-0.2028,0.1462,0.0366,0.6736,0.4984,0.6873
4,CASP,ExpGrad_EO,0.8611,0.7614,0.7885,0.0094,0.0036,-0.0094,0.1304,0.0294,0.7509,0.5978,0.7471
4,CASP,ExpGrad_TPR,0.8619,0.7777,0.7779,0.0053,0.0127,0.0053,0.1302,0.0323,0.7543,0.5962,0.7475
4,CASP,GridSearch_TPR,0.8233,0.7448,0.7461,0.04,0.0566,0.04,0.152,0.0416,0.6804,0.532,0.6636
4,CASP,GridSearch_EO,0.8006,0.6869,0.7572,0.1451,0.1064,0.1451,0.1835,0.0217,0.6254,0.4619,0.651
4,CASP,AdvDebiasing,0.8375,0.7205,0.7941,0.044,0.0008,0.044,0.1614,0.0216,0.7002,0.5198,0.7131
4,CASP,FairGBM,0.8795,0.8285,0.7699,0.2155,0.1518,0.2155,0.1222,0.0128,0.7956,0.6435,0.7712
4,CASP,FairConstraints,0.8176,0.7541,0.7247,0.0859,0.0735,-0.0859,0.149,0.0385,0.6612,0.5002,0.6668
4,CASP,DecoupledClassifier,0.8741,0.7969,0.7872,0.267,0.194,0.267,0.1244,0.0073,0.7824,0.6214,0.7653
4,CASP,GerryFairClassifier,0.8796,0.544,0.9397,0.2352,0.1532,0.2352,0.1217,0.0137,0.7947,0.6185,0.7739
4,CASP,ThreshOpt_TPR,0.8796,0.5859,0.9157,0.0375,0.0023,-0.0375,0.1217,0.0137,0.7947,0.6185,0.7739
4,CASP,ThreshOpt_EO,0.8796,0.5749,0.9196,0.0441,0.0054,-0.0441,0.1217,0.0137,0.7947,0.6185,0.7739
4,CASP,ThreshOpt_DP,0.8796,0.5507,0.9119,0.2423,0.1424,-0.2423,0.1217,0.0137,0.7947,0.6185,0.7739
4,CASP,EqOdds_PP,0.8796,0.6314,0.8259,0.0869,0.0058,0.0869,0.1217,0.0137,0.7947,0.6185,0.7739
4,CASP,RejectOption,0.8796,0.6896,0.866,0.0335,0.0593,0.0335,0.1217,0.0137,0.7947,0.6185,0.7739
4,CASP,CTGAN,0.8797,0.8252,0.7676,0.2601,0.1949,0.2601,0.1222,0.021,0.7924,0.6338,0.7721
4,CASP,FairSMOTE,0.8789,0.8159,0.7774,0.223,0.1656,0.223,0.1223,0.0245,0.7915,0.6339,0.7716
4,CASP,SampleReweighting,0.8758,0.8166,0.7596,0.2549,0.1882,0.2549,0.1236,0.0223,0.7785,0.6338,0.7671
4,CASP,GroupCalibration,0.8783,0.7906,0.8005,0.2986,0.2306,0.2986,0.1231,0.0137,0.7929,0.6289,0.774
4,CASP,JTT,0.8304,0.781,0.7002,0.135,0.104,0.135,0.1545,0.0154,0.6739,0.5232,0.7053
4,CASP,GroupDRO,0.8794,0.7943,0.8001,0.2867,0.216,0.2867,0.1217,0.0139,0.7909,0.6288,0.7748
4,SRH,BASELINE,0.8832,0.7796,0.8213,0.2045,0.1471,0.2045,0.1312,0.0158,0.8038,0.6545,0.8193
4,SRH,Reweighing,0.8833,0.7783,0.8208,0.1402,0.0871,0.1402,0.1309,0.0152,0.7988,0.6527,0.819
4,SRH,DIR,0.8833,0.7804,0.8216,0.1703,0.1069,0.1703,0.131,0.0141,0.7991,0.6471,0.8195
4,SRH,LFR,0.5299,0.2867,0.7647,0.0989,0.0083,0.0989,0.2341,0.0058,0.2151,0.0997,0.405
4,SRH,CorrelationRemover,0.8847,0.8175,0.7888,0.1288,0.0875,0.1288,0.1303,0.0191,0.8061,0.6588,0.8199
4,SRH,PrejudiceRemover,0.8817,0.81,0.7909,0.1412,0.0896,0.1412,0.1321,0.0208,0.8034,0.6614,0.8178
4,SRH,ExpGrad_DP,0.8555,0.7751,0.7783,0.1383,0.1048,-0.1383,0.1453,0.0249,0.7471,0.58,0.7827
4,SRH,ExpGrad_EO,0.8725,0.7565,0.8201,0.0067,0.0098,-0.0067,0.1364,0.0248,0.782,0.6263,0.8073
4,SRH,ExpGrad_TPR,0.8766,0.7863,0.8044,0.0321,0.0251,0.0321,0.1343,0.0268,0.7917,0.6384,0.8124
4,SRH,GridSearch_TPR,0.8531,0.8223,0.722,0.0018,0.0237,-0.0018,0.1509,0.0273,0.7536,0.5875,0.7713
4,SRH,GridSearch_EO,0.8098,0.7882,0.6817,0.038,0.0532,0.038,0.1904,0.0091,0.6688,0.4785,0.7113
4,SRH,AdvDebiasing,0.8548,0.7796,0.7748,0.0848,0.0454,0.0848,0.1711,0.0238,0.751,0.5846,0.7786
4,SRH,FairGBM,0.8822,0.8012,0.8012,0.1685,0.1053,0.1685,0.1318,0.0114,0.8028,0.6553,0.8154
4,SRH,FairConstraints,0.8526,0.8036,0.7372,0.0457,0.0455,-0.0457,0.1465,0.0119,0.7399,0.5768,0.7781
4,SRH,DecoupledClassifier,0.8783,0.8018,0.8025,0.1369,0.0821,0.1369,0.1339,0.0213,0.8064,0.6491,0.8077
4,SRH,GerryFairClassifier,0.8832,0.6885,0.8795,0.2,0.1272,0.2,0.1312,0.0158,0.8038,0.6545,0.8193
4,SRH,ThreshOpt_TPR,0.8832,0.7234,0.8566,0.0478,0.0403,0.0478,0.1312,0.0158,0.8038,0.6545,0.8193
4,SRH,ThreshOpt_EO,0.8832,0.7285,0.831,0.0394,0.0376,0.0394,0.1312,0.0158,0.8038,0.6545,0.8193
4,SRH,ThreshOpt_DP,0.8832,0.6768,0.8739,0.1946,0.1244,-0.1946,0.1312,0.0158,0.8038,0.6545,0.8193
4,SRH,EqOdds_PP,0.8832,0.7112,0.8207,0.0748,0.0217,0.0748,0.1312,0.0158,0.8038,0.6545,0.8193
4,SRH,RejectOption,0.8832,0.7911,0.8017,0.0155,0.0472,0.0155,0.1312,0.0158,0.8038,0.6545,0.8193
4,SRH,CTGAN,0.883,0.7906,0.8135,0.1951,0.1382,0.1951,0.1312,0.0151,0.802,0.6568,0.818
4,SRH,FairSMOTE,0.8835,0.793,0.8091,0.1824,0.1345,0.1824,0.1312,0.0175,0.7991,0.6601,0.8194
4,SRH,SampleReweighting,0.8822,0.8108,0.792,0.1644,0.1165,0.1644,0.1316,0.0182,0.8035,0.6523,0.8176
4,SRH,GroupCalibration,0.8817,0.7748,0.826,0.2034,0.1415,0.2034,0.1327,0.0158,0.8038,0.6518,0.8156
4,SRH,JTT,0.8504,0.8281,0.6897,0.0921,0.0653,0.0921,0.1646,0.0377,0.7234,0.5809,0.7739
4,SRH,GroupDRO,0.883,0.7418,0.8445,0.2173,0.1548,0.2173,0.1314,0.0166,0.8014,0.6544,0.8187
