Outcome,Method,Category,TPR_gap_mean,TPR_gap_SD,TPR_gap_95CI,AUROC_mean,AUROC_SD,AUROC_95CI,Brier_mean,Sign_k_N,Pct_Reduction,AUROC_gap_Q
CASP,GroupCalibration,Post-processing,0.3034,0.016,0.0199,0.8813,0.0027,0.0034,0.1221,2/5,-8.3,0.0168
CASP,ExpGrad_EO,In-processing,0.0231,0.0116,0.0144,0.8626,0.0042,0.0053,0.1297,5/5,91.8,0.0213
CASP,ThreshOpt_DP,Post-processing,0.2326,0.0337,0.0419,0.883,0.0029,0.0037,0.1202,5/5,17.0,0.0168
CASP,GridSearch_EO,In-processing,0.1408,0.1014,0.126,0.799,0.0068,0.0085,0.1766,5/5,49.8,0.0284
CASP,GroupDRO,In-processing,0.2731,0.0365,0.0453,0.883,0.0029,0.0036,0.1202,3/5,2.5,0.0168
CASP,FairSMOTE,Augmentation,0.2474,0.0292,0.0363,0.8818,0.0029,0.0035,0.1207,5/5,11.7,0.0189
CASP,ExpGrad_DP,In-processing,0.1754,0.0184,0.0228,0.8276,0.0061,0.0076,0.1444,5/5,37.4,0.0237
CASP,PrejudiceRemover,In-processing,0.2531,0.0321,0.0399,0.8787,0.0034,0.0043,0.1223,4/5,9.7,0.007
CASP,DecoupledClassifier,In-processing,0.2624,0.0166,0.0206,0.8773,0.0031,0.0038,0.123,3/5,6.4,0.0095
CASP,FairGBM,In-processing,0.2445,0.0425,0.0528,0.8824,0.0036,0.0045,0.1207,4/5,12.7,0.0128
CASP,RejectOption,Post-processing,0.0279,0.0193,0.024,0.883,0.0029,0.0037,0.1202,5/5,90.0,0.0168
CASP,LFR,Pre-processing,0.0998,0.0936,0.1162,0.6102,0.0752,0.0934,0.2301,5/5,64.4,0.0435
CASP,CTGAN,Augmentation,0.2874,0.0211,0.0261,0.8829,0.003,0.0037,0.1204,2/5,-2.6,0.0179
SRH,GridSearch_TPR,In-processing,0.0974,0.095,0.1179,0.873,0.0214,0.0266,0.1394,4/5,46.3,0.0316
SRH,AdvDebiasing,In-processing,0.0714,0.021,0.0261,0.8565,0.0033,0.0041,0.168,5/5,60.6,0.0316
SRH,EqOdds_PP,Post-processing,0.0416,0.0297,0.0368,0.893,0.0058,0.0073,0.1258,5/5,77.0,0.0277
SRH,SampleReweighting,Pre-processing,0.1613,0.0247,0.0306,0.8917,0.0059,0.0074,0.1264,5/5,11.0,0.0284
SRH,JTT,In-processing,0.1177,0.0268,0.0333,0.8536,0.0026,0.0032,0.164,5/5,35.0,0.035
SRH,DIR,Pre-processing,0.1402,0.0424,0.0527,0.8926,0.0058,0.0072,0.1261,5/5,22.6,0.0271
SRH,ThreshOpt_EO,Post-processing,0.0353,0.0103,0.0128,0.893,0.0058,0.0073,0.1258,5/5,80.5,0.0277
SRH,CorrelationRemover,Pre-processing,0.135,0.0239,0.0296,0.8935,0.0055,0.0069,0.1254,5/5,25.5,0.0274
SRH,ExpGrad_TPR,In-processing,0.0243,0.0287,0.0357,0.8852,0.006,0.0074,0.1297,5/5,86.6,0.0285
SRH,Reweighing,Pre-processing,0.1035,0.0293,0.0363,0.8924,0.0054,0.0068,0.126,5/5,42.9,0.0261
SRH,FairConstraints,In-processing,0.0704,0.0324,0.0402,0.8649,0.0073,0.0091,0.1404,5/5,61.2,0.027
SRH,ThreshOpt_TPR,Post-processing,0.0311,0.0193,0.0239,0.893,0.0058,0.0073,0.1258,5/5,82.8,0.0277
SRH,GerryFairClassifier,In-processing,0.1888,0.034,0.0422,0.893,0.0058,0.0073,0.1258,3/5,-4.2,0.0277
SRH,GroupCalibration,Post-processing,0.1733,0.0277,0.0343,0.8924,0.0063,0.0079,0.1274,5/5,4.4,0.0277
SRH,ExpGrad_EO,In-processing,0.0254,0.0181,0.0224,0.8799,0.0048,0.0059,0.1324,5/5,86.0,0.026
SRH,ThreshOpt_DP,Post-processing,0.2182,0.0223,0.0277,0.893,0.0058,0.0073,0.1258,2/5,-20.4,0.0277
SRH,GridSearch_EO,In-processing,0.0477,0.01,0.0124,0.8171,0.0052,0.0065,0.1866,5/5,73.7,0.0309
SRH,GroupDRO,In-processing,0.178,0.0331,0.0411,0.8928,0.0059,0.0073,0.1258,3/5,1.8,0.0269
SRH,FairSMOTE,Augmentation,0.1613,0.027,0.0335,0.8927,0.0055,0.0068,0.1261,5/5,11.0,0.0279
SRH,ExpGrad_DP,In-processing,0.1392,0.0163,0.0203,0.8625,0.0048,0.0059,0.142,5/5,23.2,0.0265
SRH,PrejudiceRemover,In-processing,0.148,0.039,0.0484,0.8903,0.0054,0.0068,0.1273,4/5,18.3,0.0256
SRH,DecoupledClassifier,In-processing,0.1326,0.0301,0.0374,0.888,0.0059,0.0073,0.1285,5/5,26.9,0.0267
SRH,FairGBM,In-processing,0.1499,0.0383,0.0475,0.8907,0.0054,0.0067,0.1271,5/5,17.3,0.0228
SRH,RejectOption,Post-processing,0.0173,0.0064,0.0079,0.893,0.0058,0.0073,0.1258,5/5,90.5,0.0277
SRH,LFR,Pre-processing,0.1101,0.0602,0.0747,0.6146,0.0706,0.0877,0.2436,4/5,39.3,0.0147
SRH,CTGAN,Augmentation,0.1718,0.0382,0.0474,0.8926,0.0058,0.0072,0.126,3/5,5.2,0.0275
